iter	Passed	Remaining
1045	8867	1305
1046	8877	1297
1047	8888	1289
1048	8896	1280
1049	8905	1272
1050	8914	1263
1051	8924	1255
1052	8933	1247
1053	8942	1238
1054	8950	1230
1055	8959	1221
1056	8967	1213
1057	8976	1204
1058	8984	1196
1059	8992	1187
1060	9000	1179
1061	9009	1170
1062	9018	1162
1063	9027	1153
1064	9036	1145
1065	9045	1137
1066	9054	1128
1067	9063	1120
1068	9071	1111
1069	9080	1103
1070	9088	1094
1071	9096	1086
1072	9105	1077
1073	9113	1069
1074	9122	1060
1075	9132	1052
1076	9140	1043
1077	9149	1035
1078	9158	1026
1079	9166	1018
1080	9175	1010
1081	9183	1001
1082	9191	993
1083	9200	984
1084	9208	976
1085	9217	967
1086	9225	959
1087	9233	950
1088	9241	941
1089	9249	933
1090	9258	924
1091	9266	916
1092	9275	908
1093	9283	899
1094	9291	890
1095	9300	882
1096	9308	873
1097	9316	865
1098	9324	856
1099	9333	848
1100	9341	840
1101	9350	831
1102	9359	823
1103	9367	814
1104	9375	806
1105	9384	797
1106	9392	789
1107	9400	780
1108	9410	772
1109	9418	763
1110	9427	755
1111	9435	746
1112	9443	738
1113	9451	729
1114	9475	722
1115	9483	713
1116	9492	705
1117	9500	696
1118	9508	688
1119	9516	679
1120	9524	671
1121	9533	662
1122	9542	654
1123	9550	645
1124	9558	637
1125	9566	628
1126	9574	620
1127	9583	611
1128	9592	603
1129	9600	594
1130	9608	586
1131	9617	577
1132	9625	569
1133	9635	560
1134	9644	552
1135	9652	543
1136	9661	535
1137	9670	526
1138	9678	518
1139	9687	509
1140	9695	501
1141	9704	492
1142	9712	484
1143	9721	475
1144	9729	467
1145	9737	458
1146	9745	450
1147	9754	441
1148	9762	433
1149	9771	424
1150	9780	416
1151	9788	407
1152	9797	399
1153	9805	390
1154	9813	382
1155	9822	373
1156	9830	365
1157	9839	356
1158	9847	348
1159	9856	339
1160	9864	331
1161	9873	322
1162	9881	314
1163	9890	305
1164	9898	297
1165	9906	288
1166	9914	280
1167	9923	271
1168	9932	263
1169	9940	254
1170	9949	246
1171	9958	237
1172	9968	229
1173	9977	220
1174	9986	212
1175	9995	203
1176	10004	195
1177	10013	187
1178	10023	178
1179	10031	170
1180	10040	161
1181	10049	153
1182	10058	144
1183	10068	136
1184	10076	127
1185	10085	119
1186	10093	110
1187	10101	102
1188	10110	93
1189	10118	85
1190	10128	76
1191	10136	68
1192	10144	59
1193	10153	51
1194	10161	42
1195	10169	34
1196	10178	25
1197	10187	17
1198	10195	8
1199	10203	0
